Date	DIV	Assay	Run #	ID	Wells_Recorded	Neuron Source	Detailed Scan Information
2/28/2025	3	Full Scan 30s	1	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	Full Scan 30s
2/28/2025	3	Network Today Default	2	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	Network Today Default
2/28/2025	3	Neuronal Units 9	3	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	Neuronal Units Scan_9electrodes/unit
2/28/2025	3	Full Scan 30s	4	M07137	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, A_Female, B_Female"	
2/28/2025	3	Network Today Default	5	M07137	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, A_Female, B_Female"	
2/28/2025	3	Neuronal Units 9	6	M07137	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, A_Female, B_Female"	LEGEND
2/28/2025	3	Full Scan 30s	7	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	A = Control (2mg)
2/28/2025	3	Network Today Default	8	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	B = FA deficiency (0mg)
2/28/2025	3	Neuronal Units 9	9	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	C = FA excess (10mg)
2/28/2025	3	Full Scan 30s	10	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	D = FA Super Excess (20mg)
2/28/2025	3	Network Today Default	11	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	E = Follinic Acid Excess 
2/28/2025	3	Neuronal Units 9	12	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/3/2025	6	Full Scan 30s	13	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
3/3/2025	6	Network Today Default	14	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
3/3/2025	6	Neuronal Units 9	15	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
3/3/2025	6	Axon Tracking 1hr	16	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
3/3/2025	6	Axon Tracking 13 mins	17	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
3/3/2025	6	Full Scan 30s	18	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/3/2025	6	Network Today Default	19	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/3/2025	6	Neuronal Units 9	20	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/3/2025	6	Axon Tracking 1hr	21	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/3/2025	6	Axon Tracking 13 mins	22	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/3/2025	6	Full Scan 30s	23	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/3/2025	6	Network Today Default	24	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/3/2025	6	Neuronal Units 9	25	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/3/2025	6	Full Scan 30s	26	M07137	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, A_Female, B_Female"	
3/3/2025	6	Network Today Default	27	M07137	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, A_Female, B_Female"	
3/3/2025	6	Neuronal Units 9	28	M07137	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, A_Female, B_Female"	
3/6/2025	9	Full Scan 30s	29	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
3/6/2025	9	Network Today Default	30	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
3/6/2025	9	Neuronal Units 9	31	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
3/6/2025	9	Full Scan 30s	32	M07137	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, A_Female, B_Female"	
3/6/2025	9	Network Today Default	33	M07137	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, A_Female, B_Female"	
3/6/2025	9	Neuronal Units 9	34	M07137	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, A_Female, B_Female"	
3/6/2025	9	Full Scan 30s	35	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/6/2025	9	Network Today Default	36	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/6/2025	9	Neuronal Units 9	37	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/6/2025	9	Full Scan 30s	38	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/6/2025	9	Network Today Default	39	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/6/2025	9	Neuronal Units 9	40	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/10/2025	13	Full Scan 30s	45	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/10/2025	13	Network Today Default	46	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/10/2025	13	Neuronal Units 9	47	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/10/2025	13	Axon Tracking 1hr	48	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/10/2025	13	Axon Tracking 13 mins	49	M07865	"1,2,3,4,5,6"	"E_Male, A_Female, B_Female, D_Female, E_Female, E_Female"	
3/10/2025	13	Full Scan 30s	50	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/10/2025	13	Network Today Default	51	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/10/2025	13	Neuronal Units 9	52	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/10/2025	13	Axon Tracking 1hr	53	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/10/2025	13	Axon Tracking 13 mins	54	M08092	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, E_Male, D_Female, E_Female"	
3/10/2025	13	Full Scan 30s	55	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
3/10/2025	13	Network Today Default	56	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
3/10/2025	13	Neuronal Units 9	57	M07708	"1,2,3,4,5,6"	"A_Male, B_Male, D_Male, A_Female, B_Female, D_Female"	
